Year,Month,Day,Period,309_WIND_1,317_WIND_1,303_WIND_1,122_WIND_1,
2020,1,7,6,145.5,796.7,836.6,701.9,620.175
2020,1,7,7,147.1,796.2,838.8,710.8,623.225
2020,1,7,8,147.2,795.7,837.8,704.6,621.325
2020,1,7,9,148,793.6,838.7,701.4,620.425
2020,1,7,10,147.6,793.9,823.2,703.9,617.15
2020,1,7,11,138.5,794.2,768.5,709.4,602.65
2020,1,7,12,142.4,781.9,756.4,709.1,597.45
2020,1,7,13,146.8,775.1,757.6,705.9,596.35
2020,1,7,14,146.2,783.2,746.4,704.4,595.05
2020,1,7,15,144.1,788.8,776.5,709,604.6
2020,1,7,16,146.2,787,798.8,709.4,610.35
2020,1,7,17,146.6,787.3,794.9,713.2,610.5
2020,1,7,18,140.9,798.3,758.1,713.5,602.7
2020,1,7,19,147.2,798.7,831.3,713.5,622.675
2020,1,7,20,145.7,796.4,836.3,713.5,622.975
2020,1,7,21,146.1,795.9,836.9,713.3,623.05
2020,1,7,22,137.1,746.7,837.2,709.3,607.575
2020,1,7,23,142.1,797.9,822.3,713.2,618.875
2020,1,7,24,145.3,767,708,711.5,582.95
2020,1,8,1,133.1,543.5,620.4,614.3,477.825
2020,1,8,2,99.3,771.7,612,696,544.75
2020,1,8,3,69.1,788.3,636,698,547.85
2020,1,8,4,93.1,577,685.9,529.4,471.35
2020,1,8,5,100.6,326.6,520.7,274.9,305.7
2020,1,8,6,107.2,363.1,665.7,68.4,301.1
2020,1,8,7,141,312.8,837.6,69,340.1
2020,1,8,8,148,397.7,843.1,442.8,457.9
2020,1,8,9,148.2,662.9,847,649.8,576.975
2020,1,8,10,148.3,786.7,847,622.5,601.125
2020,1,8,11,148.3,798.9,838.1,655.8,610.275
2020,1,8,12,145.1,788.1,838.4,713.5,621.275
2020,1,8,13,145.7,789.4,845.4,713.5,623.5
2020,1,8,14,146,798.5,843.6,713.5,625.4
2020,1,8,15,147.1,799,839.2,713.5,624.7
2020,1,8,16,146.5,796,837.9,709.2,622.4
2020,1,8,17,147,788.6,835.3,711,620.475
2020,1,8,18,147.8,797.5,843.4,713.5,625.55
2020,1,8,19,147.7,797.8,841.2,705.3,623
2020,1,8,20,147.2,798.9,788.8,704.2,609.775
2020,1,8,21,145.2,798.1,776.4,708.1,606.95
2020,1,8,22,145.4,799.1,778.4,710.1,608.25
2020,1,8,23,146.8,794.9,729,707.2,594.475
2020,1,8,24,147,791.6,723.7,712.5,593.7
2020,1,9,1,146.8,793.8,733.9,712.9,596.85
2020,1,9,2,146.2,790.7,674.5,713.5,581.225
2020,1,9,3,147.8,789.2,748.8,713.5,599.825
2020,1,9,4,147.6,789.3,744.7,713.5,598.775
2020,1,9,5,147.3,787.3,684.8,713.5,583.225
2020,1,9,6,147,785.7,607.4,712.1,563.05
2020,1,9,7,147.2,784.9,509.9,701.4,535.85
2020,1,9,8,147.4,777.9,433.2,668,506.625
2020,1,9,9,146.5,743,388.8,597.3,468.9
2020,1,9,10,144.6,696,376.7,567.3,446.15
2020,1,9,11,126.8,508.4,298.2,286.8,305.05
2020,1,9,12,81.3,293.4,278.4,84.1,184.3
2020,1,9,13,44.3,134,182.2,129.1,122.4
2020,1,9,14,27.4,42.4,176.3,146.4,98.125
2020,1,9,15,10.8,28.2,106,85.6,57.65
2020,1,9,16,5.2,131,79.8,118.7,83.675
2020,1,9,17,9.2,138.3,76.2,128.9,88.15
2020,1,9,18,14.1,328.1,0,121.6,115.95
2020,1,9,19,30.3,685.7,2.9,531.6,312.625
2020,1,9,20,63.6,669.7,66.8,669,367.275
2020,1,9,21,82.9,633.3,212.6,665,398.45
2020,1,9,22,117.2,634.7,339.3,654.8,436.5
2020,1,9,23,112.7,676,253.2,653.5,423.85
2020,1,9,24,122.2,667.6,378.8,652.4,455.25
2020,1,10,1,112.5,635.2,597,658.5,500.8
2020,1,10,2,87,636.8,637.9,657,504.675
2020,1,10,3,101.8,685.3,505.8,657.3,487.55
2020,1,10,4,101.7,686.5,336.4,664.1,447.175
2020,1,10,5,79.5,705.4,301.1,659.3,436.325
2020,1,10,6,46.3,741,351.6,664.9,450.95
2020,1,10,7,28.5,772.5,494.8,682.1,494.475
2020,1,10,8,52.1,757.8,513.4,702.1,506.35
2020,1,10,9,87.9,724.6,587.7,695.4,523.9
2020,1,10,10,92,724,659.3,688,540.825
2020,1,10,11,86.3,716.5,595.2,688.8,521.7
2020,1,10,12,75.2,659.6,535.4,691.9,490.525
2020,1,10,13,75.7,615.4,424.7,694.8,452.65
2020,1,10,14,90.4,594.4,278.1,686.7,412.4
2020,1,10,15,110.7,557,204.5,682.4,388.65
2020,1,10,16,93.5,592.3,120.8,684.8,372.85
2020,1,10,17,77.5,737.2,0,704.6,379.825
2020,1,10,18,0,799.1,0,712.4,377.875
2020,1,10,19,0,783,152.5,711.8,411.825
2020,1,10,20,12.5,626.7,395.5,712.1,436.7
2020,1,10,21,52.5,390.4,377.2,712.4,383.125
2020,1,10,22,35,335.6,311.6,647.7,332.475
2020,1,10,23,55.3,752.4,329.1,658.4,448.8
2020,1,10,24,58.4,688.7,332.9,690.8,442.7
2020,1,11,1,29.5,626.9,210.2,679.7,386.575
2020,1,11,2,19,518.7,171.7,688.7,349.525
2020,1,11,3,15.7,544.6,176.2,693,357.375
2020,1,11,4,41.5,598.4,278.1,687.7,401.425
2020,1,11,5,42.4,486.5,183.9,683.7,349.125
2020,1,11,6,31.8,348.6,213,582.8,294.05
2020,1,11,7,14,337.3,172.1,259.3,195.675
2020,1,11,8,8.7,178.9,53.8,38.4,69.95
2020,1,11,9,6.7,113.6,37.2,45.2,50.675
2020,1,11,10,3.3,120,13.4,52.6,47.325
2020,1,11,11,0,143.5,0,44.9,47.1
2020,1,11,12,13.8,152.4,136.1,18.6,80.225
2020,1,11,13,47.8,152,337.3,68,151.275
2020,1,11,14,70.4,147.7,361.4,153.8,183.325
2020,1,11,15,105.6,154,293.8,137.3,172.675
2020,1,11,16,111.2,201.5,218.4,135.5,166.65
2020,1,11,17,133.1,266.1,200.8,235.3,208.825
2020,1,11,18,102,240.9,219.6,360.5,230.75
2020,1,11,19,37.7,333.4,265.4,534.8,292.825
2020,1,11,20,25.5,380.6,357.3,510.5,318.475
2020,1,11,21,14.6,451.7,553.7,631.4,412.85
2020,1,11,22,55.3,343.6,613.5,575.5,396.975
2020,1,11,23,34.7,653.8,669,590.1,486.9
2020,1,11,24,50.3,572,614.4,648.2,471.225
2020,1,12,1,71.6,632.4,664.3,661.3,507.4
2020,1,12,2,63.8,644.7,520,694.6,480.775
2020,1,12,3,73.8,699.1,720.6,687.7,545.3
2020,1,12,4,81.2,773.4,690.6,710.4,563.9
2020,1,12,5,74.2,737.6,629.2,710.2,537.8
2020,1,12,6,78.9,742.3,575.5,709.7,526.6
2020,1,12,7,72.4,724.9,576.3,678.1,512.925
2020,1,12,8,72.5,738.4,482.5,674.6,492
2020,1,12,9,67.4,728.4,452.5,659.5,476.95
2020,1,12,10,70.4,740.8,455.8,653.3,480.075
2020,1,12,11,71.3,693.2,348.6,616.9,432.5
2020,1,12,12,52.8,690.5,230.3,574.3,386.975
2020,1,12,13,43.3,655.1,182.8,578.9,365.025
2020,1,12,14,43.5,626.1,129.5,587.5,346.65
2020,1,12,15,43,600.1,156.1,574,343.3
2020,1,12,16,42.1,571.1,207.7,563.5,346.1
2020,1,12,17,29.9,585.2,234.4,581.3,357.7
2020,1,12,18,60.3,570.3,197.4,602.7,357.675
2020,1,12,19,73.3,602.1,368.6,542.1,396.525
2020,1,12,20,61.6,496.3,628.8,545.2,432.975
2020,1,12,21,35,478.2,596.3,494.4,400.975
2020,1,12,22,30.6,523.8,574.9,442.3,392.9
2020,1,12,23,55.8,529.8,537.6,421.4,386.15
2020,1,12,24,68.8,528.3,387.7,418.7,350.875
2020,1,13,1,81,476.7,447.7,450.2,363.9
2020,1,13,2,109.5,459.1,649.9,431.4,412.475
2020,1,13,3,128.9,506.7,472.4,444.1,388.025
2020,1,13,4,141.9,647.2,433.2,531.2,438.375
2020,1,13,5,113.5,596.1,452.1,443.9,401.4
2020,1,13,6,140.9,493,489.4,341.3,366.15
2020,1,13,7,87.7,415,269.9,308.9,270.375
2020,1,13,8,86.7,355.3,179.9,306.1,232
2020,1,13,9,33.6,237,96.8,321.6,172.25
2020,1,13,10,25.4,218.6,149.1,156.4,137.375
2020,1,13,11,45.3,138.5,237.5,177.9,149.8
2020,1,13,12,6.4,72,286,129.7,123.525
2020,1,13,13,15.5,75.7,160.8,236.2,122.05
2020,1,13,14,28.9,78.1,157.7,206,117.675
2020,1,13,15,89.2,94.1,205.4,346.7,183.85
2020,1,13,16,73.5,186.2,222.9,505.2,246.95
2020,1,13,17,104.9,335.4,477,505.8,355.775
2020,1,13,18,145.2,643.6,629.6,669.1,521.875
2020,1,13,19,140.8,743.7,692.3,648.7,556.375
2020,1,13,20,50,485.8,778.1,647.2,490.275
2020,1,13,21,54,711.2,752.6,672.7,547.625
2020,1,13,22,81.4,702.7,808.9,663.3,564.075
2020,1,13,23,34.7,676.5,772.3,650,533.375
2020,1,13,24,64.4,784.7,776.6,666.9,573.15
2020,1,14,1,115.8,778.2,596.5,691.7,545.55
2020,1,14,2,129.2,768.1,681.6,690.7,567.4
2020,1,14,3,147.9,788.1,766.2,695.1,599.325
2020,1,14,4,146.5,796.5,834.2,701.5,619.675
2020,1,14,5,147.8,795.7,842.1,696,620.4
2020,1,14,6,147.9,791.5,790.5,706.5,609.1
2020,1,14,7,147.1,790.9,540.2,706.7,546.225
2020,1,14,8,145.6,793.1,548.8,704.8,548.075
2020,1,14,9,145.8,793.7,724.8,711.1,593.85
2020,1,14,10,144.1,791.6,759.4,711,601.525
2020,1,14,11,136.4,790,792.8,711.1,607.575
2020,1,14,12,135.6,787.9,689.1,713.5,581.525
2020,1,14,13,132.7,771.4,604.5,713.3,555.475
2020,1,14,14,124,734,587.1,670.1,528.8
2020,1,14,15,124.5,733,400,599.4,464.225
2020,1,14,16,117.5,706.3,377.3,616,454.275
2020,1,14,17,72.1,722.6,333.3,518.1,411.525
2020,1,14,18,13.1,0,9.2,453.4,118.925
2020,1,14,19,115.9,0,32,435.1,145.75
2020,1,14,20,134.9,0,82.6,399.3,154.2
2020,1,14,21,141.7,32.4,194,468.8,209.225
2020,1,14,22,63.8,267.4,151.6,292.1,193.725
2020,1,14,23,73.5,391.8,357.1,258.1,270.125
2020,1,14,24,90.1,289.9,407.9,312.8,275.175
2020,1,15,1,106.5,392.2,503.5,467.1,367.325
2020,1,15,2,67.1,374.4,471.7,440.5,338.425
2020,1,15,3,52.1,553.8,519.4,643.3,442.15
2020,1,15,4,73.2,593.6,316,621.7,401.125
2020,1,15,5,32.6,451,202.3,459.1,286.25
2020,1,15,6,23.6,496.9,14.4,198.6,183.375
2020,1,15,7,32.7,555.4,153.5,353.8,273.85
2020,1,15,8,75.3,474.7,242.6,382.4,293.75
2020,1,15,9,79.2,451.3,358.4,416.5,326.35
2020,1,15,10,84.2,431.5,319.9,353.6,297.3
2020,1,15,11,89.6,280.9,312,309.8,248.075
2020,1,15,12,41,254.2,352.9,215.9,216
2020,1,15,13,40.3,281.4,282.8,131.2,183.925
2020,1,15,14,24.6,313.2,247.1,151.8,184.175
2020,1,15,15,43.8,252.6,266.4,88.5,162.825
2020,1,15,16,32.1,201.9,280.2,65.3,144.875
2020,1,15,17,19,179.2,154.5,84.9,109.4
2020,1,15,18,0,20.6,0,0,5.15
2020,1,15,19,0,0,0,0,0
2020,1,15,20,0,4.6,0,0,1.15
2020,1,15,21,0,0,0,0,0
2020,1,15,22,34.2,0,7.9,0,10.525
2020,1,15,23,0,13.2,0,0,3.3
2020,1,15,24,0,65.6,0,9.7,18.825
2020,1,16,1,0,38.2,0,4.2,10.6
2020,1,16,2,24.1,49.8,0,4.5,19.6
2020,1,16,3,63.4,160.6,0.7,66.7,72.85
2020,1,16,4,55.8,224.7,232.3,192.1,176.225
2020,1,16,5,50,225.2,278.6,214,191.95
2020,1,16,6,66.5,368.9,83.5,266.8,196.425
2020,1,16,7,40.5,519.2,7.9,324.9,223.125
2020,1,16,8,25.6,559.8,2.5,422.5,252.6
2020,1,16,9,40.2,600.7,23.9,554.2,304.75
2020,1,16,10,48.5,527.3,29.9,598.1,300.95
2020,1,16,11,94,500.2,62.9,400.9,264.5
2020,1,16,12,88.9,433,18.6,328.6,217.275
2020,1,16,13,82.4,391.1,59.2,276.6,202.325
2020,1,16,14,85.3,305.8,110.9,329.3,207.825
2020,1,16,15,56.6,309.9,288.5,210.4,216.35
2020,1,16,16,48.2,408.3,296.7,220.1,243.325
2020,1,16,17,77.8,430.7,370.8,225.4,276.175
2020,1,16,18,120.8,470.2,438.9,258.6,322.125
2020,1,16,19,143.4,505.5,582.2,467.2,424.575
2020,1,16,20,144.1,669,644.5,558.2,503.95
2020,1,16,21,141.3,649.9,765.3,553.6,527.525
2020,1,16,22,136.6,691,785.4,444.9,514.475
2020,1,16,23,144.8,729.5,806,603.2,570.875
2020,1,16,24,143.5,757.9,746,676.8,581.05
2020,1,17,1,140.7,774.8,781.3,666.2,590.75
2020,1,17,2,145.8,759.2,829.8,675.9,602.675
2020,1,17,3,138.2,785.4,793.3,616.3,583.3
2020,1,17,4,147.6,788.4,834.5,665.1,608.9
2020,1,17,5,146.7,796.3,800.9,689.2,608.275
2020,1,17,6,142.3,792.9,695.3,685,578.875
2020,1,17,7,145.2,790.4,791.4,687.8,603.7
2020,1,17,8,141.3,785.2,786,673.9,596.6
2020,1,17,9,138.7,790.7,771.2,666,591.65
2020,1,17,10,145,795.7,822.1,680.6,610.85
2020,1,17,11,143.3,779.2,774.2,663.5,590.05
2020,1,17,12,143.6,791,792.6,677.7,601.225
2020,1,17,13,147.9,789.5,828.7,698.3,616.1
2020,1,17,14,147.6,794.5,749.9,699.2,597.8
2020,1,17,15,139.9,792.1,713.7,684.2,582.475
2020,1,17,16,146.3,787.5,802,702.3,609.525
2020,1,17,17,126,768.9,488,707.3,522.55
2020,1,17,18,144.6,756.3,755.6,679.8,584.075
2020,1,17,19,142.1,768,687.2,692.9,572.55
2020,1,17,20,139,762.2,772.9,688,590.525
2020,1,17,21,140.8,710.4,665.6,674.8,547.9
2020,1,17,22,143.4,692.8,631.1,676.3,535.9
2020,1,17,23,130.5,687.5,496.8,654.8,492.4
2020,1,17,24,90.7,709.9,472.5,668.7,485.45
2020,1,18,1,74.4,708.6,555.2,664.4,500.65
2020,1,18,2,69.2,687.9,359.7,662.5,444.825
2020,1,18,3,41,716.6,225.8,680.9,416.075
2020,1,18,4,25.3,580.8,143.3,671.1,355.125
2020,1,18,5,26.5,476.5,164.6,670.6,334.55
2020,1,18,6,20.9,462.2,103.8,650.4,309.325
2020,1,18,7,24.1,490.8,52.1,635.5,300.625
2020,1,18,8,29.1,555.3,23.8,657.9,316.525
2020,1,18,9,13,582.4,5.1,638.5,309.75
2020,1,18,10,6.6,586.3,0.1,530.1,280.775
2020,1,18,11,5.1,449.2,1.6,291.2,186.775
2020,1,18,12,6,407.4,12,181.1,151.625
2020,1,18,13,3.7,381.2,23.4,100.9,127.3
2020,1,18,14,0.6,383.8,34,39.6,114.5
2020,1,18,15,0.2,310.5,37.7,16.9,91.325
2020,1,18,16,1.4,192,13,18.5,56.225
2020,1,18,17,2.5,138.5,4.3,8.7,38.5
2020,1,18,18,5.8,45.7,12,71.6,33.775
2020,1,18,19,2,22.4,2.1,101.7,32.05
2020,1,18,20,0.2,26.1,0.3,40.3,16.725
2020,1,18,21,3.7,36.7,39.2,58.5,34.525
2020,1,18,22,3.6,46.3,91.6,52.6,48.525
2020,1,18,23,5.7,83.2,81.6,54,56.125
2020,1,18,24,3.9,180.4,84.9,84.6,88.45
2020,1,19,1,3,215.1,25,64.2,76.825
2020,1,19,2,4.3,228.7,1.3,61.6,73.975
2020,1,19,3,10.3,254.3,0,66,82.65
2020,1,19,4,27.2,242.8,0.2,45.8,79
2020,1,19,5,40.7,203.7,4.5,25.8,68.675
2020,1,19,6,46.8,189.7,16.6,17.6,67.675
2020,1,19,7,50.5,217,68.3,22,89.45
2020,1,19,8,48.1,227.9,117.1,44.5,109.4
2020,1,19,9,61.1,169.2,159.8,47.1,109.3
2020,1,19,10,80.6,164.2,214.4,33.1,123.075
2020,1,19,11,74.1,91.4,180.2,16.6,90.575
2020,1,19,12,37.3,109.6,115.4,9.6,67.975
2020,1,19,13,19.1,152.1,105.1,11.9,72.05
2020,1,19,14,20.5,124.2,129.8,7.7,70.55
2020,1,19,15,18.1,92.9,130,11.4,63.1
2020,1,19,16,14,63.6,99.8,8,46.35
2020,1,19,17,2.2,20.9,41.1,23.4,21.9
2020,1,19,18,44.6,75.7,244.5,1.3,91.525
2020,1,19,19,83.5,224.6,131.9,136.2,144.05
2020,1,19,20,53,197.5,212.6,166,157.275
2020,1,19,21,36.7,269.9,238.1,365.2,227.475
2020,1,19,22,9.3,479.7,242.7,496,306.925
2020,1,19,23,6.4,529.3,367.7,508.6,353
2020,1,19,24,49.7,571,340,480.6,360.325
2020,1,20,1,109.7,620.3,396.1,301.5,356.9
2020,1,20,2,67.9,674.1,375.2,493.6,402.7
2020,1,20,3,81.7,675,404.8,533.8,423.825
2020,1,20,4,101.2,683.7,344.4,533.8,415.775
2020,1,20,5,127.5,667.9,426,500.9,430.575
2020,1,20,6,124.9,651.1,375.4,470.3,405.425
2020,1,20,7,95.9,644.7,300.8,447.8,372.3
2020,1,20,8,46.4,666.8,291.1,443.2,361.875
2020,1,20,9,48.8,657.2,379.3,417.3,375.65
2020,1,20,10,65,615.8,415.1,357.3,363.3
2020,1,20,11,61.6,501.7,359.1,220.2,285.65
2020,1,20,12,27.7,343.2,200.2,41.4,153.125
2020,1,20,13,22.3,216.1,98.7,12,87.275
2020,1,20,14,52.6,150.9,86.3,10.2,75
2020,1,20,15,60.3,72.1,81.1,1.7,53.8
2020,1,20,16,48.8,15.5,83.8,0.8,37.225
2020,1,20,17,42.3,7.6,133.8,2.4,46.525
2020,1,20,18,17.6,7.2,102.8,1.3,32.225
2020,1,20,19,13.6,2.5,108.9,10.7,33.925
2020,1,20,20,7.4,8.4,108.8,42.8,41.85
2020,1,20,21,2.5,14.2,84.1,74.5,43.825
2020,1,20,22,0.6,30.7,76.1,126.8,58.55
2020,1,20,23,4.9,64.4,75.3,204.2,87.2
2020,1,20,24,23.8,97.1,58.2,300.2,119.825
2020,1,21,1,28.8,105.4,54.9,344.7,133.45
2020,1,21,2,16.6,94.5,49.5,331.3,122.975
2020,1,21,3,5.1,109.3,49,315.3,119.675
2020,1,21,4,1.4,102.9,45.1,280.3,107.425
2020,1,21,5,1.2,175.8,20.2,347.7,136.225
2020,1,21,6,8,290,7,373.9,169.725
2020,1,21,7,12.3,400.9,1.5,385.8,200.125
2020,1,21,8,7,436.5,2.2,374.8,205.125
2020,1,21,9,3.2,450.4,3.2,495.6,238.1
2020,1,21,10,0.7,485.9,3.3,608.1,274.5
2020,1,21,11,1.1,511.3,5.1,624,285.375
2020,1,21,12,0.6,405.1,2.9,582.4,247.75
2020,1,21,13,0.4,248.5,0.8,344.1,148.45
2020,1,21,14,0.4,180.1,0.1,346.1,131.675
2020,1,21,15,0.2,194.6,0.2,514.6,177.4
2020,1,21,16,0.1,216.7,1.2,629.1,211.775
2020,1,21,17,0.3,253.8,0.8,640.1,223.75
